organizationName,,Link
Care Group,CGRR,https://app.ninjarmm.com/agent/installer/5c310a0c-1b5e-4b27-b5fb-ad60fad64284/caregroupcgrrrockrestnursingcenter-5.7.9157-windows-installer.msi
Care LTC,CCNC,https://app.ninjarmm.com/agent/installer/b9ba2e08-be38-4391-87f9-e6d9badb7298/careltcccnccalvertcountyhc-5.7.9157-windows-installer.msi
Care LTC,CHNR,https://app.ninjarmm.com/agent/installer/b9ba2e08-be38-4391-87f9-e6d9badb7298/careltcchnrchapelhill-5.7.9157-windows-installer.msi
Care LTC,CLTC,https://app.ninjarmm.com/agent/installer/b9ba2e08-be38-4391-87f9-e6d9badb7298/careltccltccorporate-5.7.9157-windows-installer.msi
Care LTC,MJOS,https://app.ninjarmm.com/agent/installer/b9ba2e08-be38-4391-87f9-e6d9badb7298/careltcmjosmountjosephwaterville-5.7.9157-windows-installer.msi
Care LTC,HRLS,https://app.ninjarmm.com/agent/installer/b9ba2e08-be38-4391-87f9-e6d9badb7298/careltchrlsheritagelakeside-5.7.9157-windows-installer.msi
Care LTC,NOAK,https://app.ninjarmm.com/agent/installer/b9ba2e08-be38-4391-87f9-e6d9badb7298/careltcnoaknorthoaks-5.7.9157-windows-installer.msi
Casper Mountain Rehabilitation & Care Center,CSPR,https://app.ninjarmm.com/agent/installer/2d210aaa-87c5-4e98-b466-1fe1f3898496/caspermountainrehabilitationcarecentercsprcaspermountainrehabilitationcarecenter-5.7.9157-windows-installer.msi
CCH Healthcare,SUNR,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcaresunrsunrise-5.7.9157-windows-installer.msi
CCH Healthcare,CCCC,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarecccccedarview-5.7.9157-windows-installer.msi
CCH Healthcare,CCCL,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccclcedarsoflebanon-5.7.9157-windows-installer.msi
CCH Healthcare,CCGC,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccgcgreensatcabbarus-5.7.9157-windows-installer.msi
CCH Healthcare,CCGW,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccgwgreensatweaverville-5.7.9157-windows-installer.msi
CCH Healthcare,CCGG,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccgggreensatgastonia-5.7.9157-windows-installer.msi
CCH Healthcare,CCGH,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccghgreensathendersonville-5.7.9157-windows-installer.msi
CCH Healthcare,CCGI,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccgigreensathickoryeast-5.7.9157-windows-installer.msi
CCH Healthcare,CCGL,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccglgreensatlincolnton-5.7.9157-windows-installer.msi
CCH Healthcare,CCHHQ,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarecchhqcchcorporate-5.7.9157-windows-installer.msi
CCH Healthcare,CCGM,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccgmgreensatmapleleaf-5.7.9157-windows-installer.msi
CCH Healthcare,CCGS,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccgsgreensatsprucepine-5.7.9157-windows-installer.msi
CCH Healthcare,CCGV,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccgvgreensatviewmont-5.7.9157-windows-installer.msi
CCH Healthcare,PINE,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarepinepinehurst-5.7.9157-windows-installer.msi
CCH Healthcare,CCMH,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccmhmeadowbrookhealthcare-5.7.9157-windows-installer.msi
CCH Healthcare,CCMW,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccmwmeadowwind-5.7.9157-windows-installer.msi
CCH Healthcare,CCHP,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarecchpharrisonpavillioncarecenter-5.7.9157-windows-installer.msi
CCH Healthcare,CCLC,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarecclclincolncrawford-5.7.9157-windows-installer.msi
CCH Healthcare,CCLG,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarecclglouisvillegardens-5.7.9157-windows-installer.msi
CCH Healthcare,CCSO,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccsoscarletoaks-5.7.9157-windows-installer.msi
CCH Healthcare,CCSP,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccspsolonpointe-5.7.9157-windows-installer.msi
CCH Healthcare,CCVN,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareccvnvalleynursing-5.7.9157-windows-installer.msi
CCH Healthcare,CRV,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarecrvcarver-5.7.9157-windows-installer.msi
CCH Healthcare,CSMR,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarecsmrcountrysidemanor-5.7.9157-windows-installer.msi
CCH Healthcare,CVHC,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarecvhcclovernook-5.7.9157-windows-installer.msi
CCH Healthcare,TWLT,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcaretwlttwilight-5.7.9157-windows-installer.msi
CCH Healthcare,WLWRG,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarewlwrgwillowridge-5.7.9157-windows-installer.msi
CCH Healthcare,PVL,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarepvlpineville-5.7.9157-windows-installer.msi
CCH Healthcare,DRGN,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcaredrgndarlingtonparkterrace-5.7.9157-windows-installer.msi
CCH Healthcare,FLNT,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcareflntflint-5.7.9157-windows-installer.msi
CCH Healthcare,NCST,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarencstnorthcrest-5.7.9157-windows-installer.msi
CCH Healthcare,LCST,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarelcstlocust-5.7.9157-windows-installer.msi
CCH Healthcare,RGWD,https://app.ninjarmm.com/agent/installer/4244ec00-a81b-4e6a-a6c5-26c732a800c4/cchhealthcarergwdridgewood-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLPL,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclplclintonplace-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CVHR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementcvhrcreekview-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CVSD,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementcvsdsoddydaisy-5.7.9157-windows-installer.msi
Clearview Healthcare Management,PHRC,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementphrcpalace-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CVBR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementcvbrbedfordheights-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLRR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclrrriveridge-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CWNR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementcwnrcreekwood-5.7.9157-windows-installer.msi
Clearview Healthcare Management,BARN,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementbarnbarren-5.7.9157-windows-installer.msi
Clearview Healthcare Management,BHNR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementbhnrbradford-5.7.9157-windows-installer.msi
Clearview Healthcare Management,MILS,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementmilsmills-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CKPR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementckprcherokee-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLCQ,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclcqchautauqua-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLCV,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclcvcrestview-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLEW,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclewedgewood-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLGR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclgrgrant-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLGV,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclgvglenview-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLOW,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclowowentonhc-5.7.9157-windows-installer.msi
Clearview Healthcare Management,MGNL,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementmgnlmagnolia-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CLVW,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementclvwcorporate-5.7.9157-windows-installer.msi
Clearview Healthcare Management,SYMR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementsymrsycamore-5.7.9157-windows-installer.msi
Clearview Healthcare Management,MAYF,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementmayfmayfield-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CTMR,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementctmrcitadelmooresville-5.7.9157-windows-installer.msi
Clearview Healthcare Management,CVBS,https://app.ninjarmm.com/agent/installer/92195e50-6e8e-483f-a9dd-c438a801f07b/clearviewhealthcaremanagementcvbsbedfordsprings-5.7.9157-windows-installer.msi
